service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATB:DayType:1130,1,1,1,1,1,0,0,20250524,20250629
ATB:DayType:1131,1,0,1,1,0,0,0,20250523,20251019
ATB:DayType:1133,1,1,0,1,1,0,0,20250809,20251019
ATB:DayType:1134,1,0,0,1,0,0,0,20250815,20251019
ATB:DayType:1135,1,1,1,1,1,0,0,20250816,20251019
ATB:DayType:1136,1,0,0,0,1,0,0,20250816,20251019
ATB:DayType:1137,1,1,1,1,1,0,0,20250809,20251019
ATB:DayType:1138,1,1,1,1,0,0,0,20250523,20251019
ATB:DayType:1140,1,0,0,1,1,0,0,20250524,20251019
ATB:DayType:1141,1,0,1,0,0,0,0,20250522,20250629
ATB:DayType:1142,0,1,1,1,0,0,0,20250815,20251020
ATB:DayType:1143,0,0,1,0,1,0,0,20250524,20251021
ATB:DayType:1144,1,0,1,1,1,0,0,20250524,20251019
ATB:DayType:1145,0,1,1,1,0,0,0,20250523,20251020
ATB:DayType:1146,1,1,1,1,1,0,0,20250527,20250817
ATB:DayType:1148,1,0,0,0,1,0,0,20250621,20251019
ATB:DayType:1149,0,1,0,0,1,0,0,20250528,20250818
ATB:DayType:1150,1,1,1,0,1,0,0,20250524,20251019
ATB:DayType:1151,1,1,0,1,0,0,0,20250523,20250622
ATB:DayType:1153,1,0,0,0,1,0,0,20250524,20251019
ATB:DayType:1154,0,1,0,0,0,0,0,20250528,20250818
ATB:DayType:1155,1,1,1,0,1,0,0,20250524,20251019
ATB:DayType:1156,1,0,0,0,0,0,0,20250617,20250817
ATB:DayType:1157,0,0,1,1,1,0,0,20250524,20251021
ATB:DayType:1158,0,0,0,0,1,0,0,20250621,20250814
ATB:DayType:1159,1,1,0,1,1,0,0,20250524,20251019
ATB:DayType:1160,0,0,0,1,0,0,0,20250815,20251022
ATB:DayType:1161,1,1,1,1,1,0,0,20250524,20251019
ATB:DayType:1162,0,0,0,0,1,0,0,20250830,20251023
ATB:DayType:1163,1,1,1,0,1,0,0,20250524,20251019
ATB:DayType:1164,0,1,0,0,1,0,0,20250816,20251020
ATB:DayType:1165,1,1,1,1,1,0,0,20250524,20251019
ATB:DayType:1166,1,0,0,0,1,0,0,20250524,20251019
ATB:DayType:1168,0,1,0,0,1,0,0,20250816,20251020
ATB:DayType:1170,1,0,0,0,0,0,0,20250812,20251019
ATB:DayType:1171,0,0,1,0,0,0,0,20250807,20251021
ATB:DayType:1172,1,0,1,1,1,0,0,20250524,20251019
ATB:DayType:1174,0,0,0,0,1,0,0,20250524,20251023
ATB:DayType:1175,0,1,0,0,1,0,0,20250524,20251020
ATB:DayType:1176,0,0,0,0,0,0,1,20250818,20251025
ATB:DayType:1177,1,1,1,1,1,0,0,20250524,20251019
ATB:DayType:1178,0,0,0,0,0,1,0,20250525,20251024
ATB:DayType:1180,0,1,1,0,0,0,0,20250522,20250623
ATB:DayType:1181,1,1,1,1,0,0,0,20250523,20251019
ATB:DayType:1183,0,0,1,0,0,0,0,20250619,20251014
ATB:DayType:859,0,0,1,0,0,0,0,20250814,20251021
ATB:DayType:860,1,1,0,0,0,0,0,20250521,20250622
ATB:DayType:861,1,0,1,1,1,0,0,20250524,20250622
ATB:DayType:862,1,1,1,1,1,0,0,20250621,20250817
ATB:DayType:863,0,0,0,0,0,1,0,20250525,20250822
ATB:DayType:864,1,1,1,1,0,0,0,20250829,20251019
ATB:DayType:865,0,0,0,0,1,0,0,20250816,20251023
ATB:DayType:866,1,1,1,0,0,0,0,20250522,20251019
ATB:DayType:868,0,0,0,0,1,0,0,20250524,20251023
ATB:DayType:870,0,0,0,1,0,0,0,20250530,20251022
ATB:DayType:871,0,1,0,0,1,0,0,20250524,20251020
ATB:DayType:872,0,1,1,1,0,0,0,20250523,20251020
ATB:DayType:875,0,0,1,1,0,0,0,20250523,20250624
ATB:DayType:876,0,0,0,0,1,0,0,20250816,20251023
ATB:DayType:877,0,1,0,0,0,0,0,20250813,20251020
ATB:DayType:878,1,1,1,1,1,0,0,20250524,20251019
ATB:DayType:880,0,0,0,0,0,1,0,20250525,20251024
ATB:DayType:881,0,0,0,0,1,0,0,20250809,20251023
ATB:DayType:882,0,0,0,0,1,1,0,20250810,20251023
ATB:DayType:883,0,0,0,1,1,0,0,20250531,20250625
ATB:DayType:884,0,0,1,1,0,0,0,20250530,20251021
ATB:DayType:886,1,0,0,1,0,0,0,20250523,20251019
ATB:DayType:887,1,0,0,0,0,0,0,20250520,20251019
ATB:DayType:888,0,0,0,0,0,0,1,20250526,20251025
ATB:DayType:890,1,1,1,1,0,0,0,20250808,20251019
ATB:DayType:891,1,1,1,1,1,0,0,20250524,20251019
ATB:DayType:892,0,0,0,0,1,0,0,20250524,20251023
ATB:DayType:893,1,0,1,0,0,0,0,20250522,20251019
ATB:DayType:894,1,1,1,1,0,0,0,20250523,20250622
ATB:DayType:895,0,0,0,1,0,0,0,20250530,20251022
ATB:DayType:896,1,1,0,1,0,0,0,20250523,20251019
ATB:DayType:897,0,1,0,0,0,0,0,20250813,20251020
ATB:DayType:898,1,0,0,1,1,0,0,20250524,20250622
ATB:DayType:899,0,1,1,1,0,0,0,20250523,20251020
ATB:DayType:900,0,0,1,0,1,0,0,20250524,20250624
ATB:DayType:901,1,1,1,0,1,0,0,20250816,20251019
ATB:DayType:903,0,0,0,0,1,0,0,20250531,20251023
ATB:DayType:904,1,0,0,0,1,0,0,20250524,20250622
ATB:DayType:905,1,0,1,1,1,0,0,20250816,20251019
ATB:DayType:906,1,0,1,1,0,0,0,20250815,20251019
ATB:DayType:907,0,1,1,1,0,0,0,20250620,20250818
ATB:DayType:909,1,1,0,0,1,0,0,20250524,20251019
ATB:DayType:910,0,1,1,1,1,0,0,20250524,20250623
ATB:DayType:911,1,0,1,0,0,0,0,20250522,20251019
ATB:DayType:912,0,0,0,0,0,0,1,20250526,20251025
ATB:DayType:913,1,1,1,1,0,0,0,20250523,20251019
ATB:DayType:914,0,0,0,0,1,0,0,20250621,20250821
ATB:DayType:915,1,0,1,0,1,0,0,20250524,20250622
ATB:DayType:916,0,0,1,0,1,0,0,20250524,20251021
ATB:DayType:917,0,1,0,1,1,0,0,20250524,20251020
ATB:DayType:918,0,1,0,1,1,0,0,20250816,20251020
ATB:DayType:919,1,1,0,0,0,0,0,20250813,20251019
ATB:DayType:920,1,1,1,1,1,0,0,20250524,20251019
ATB:DayType:925,0,0,0,1,1,0,0,20250531,20251022
ATB:DayType:927,1,1,0,0,0,0,0,20250521,20251019
ATB:DayType:928,0,1,0,0,1,0,0,20250528,20251013
ATB:DayType:930,0,1,0,1,0,0,0,20250523,20251020
ATB:DayType:931,0,0,1,1,0,0,0,20250523,20251021
ATB:DayType:934,0,0,0,0,1,0,0,20250531,20251023
ATB:DayType:935,1,1,1,1,1,0,0,20250524,20251019
ATB:DayType:936,1,1,0,1,1,0,0,20250524,20251019
ATB:DayType:937,1,1,0,1,1,0,0,20250524,20251019
ATB:DayType:938,1,0,1,0,0,0,0,20250807,20251019
ATB:DayType:941,1,1,0,0,1,0,0,20250816,20251019
ATB:DayType:942,0,0,0,0,0,1,0,20250622,20251024
ATB:DayType:943,0,0,1,1,1,0,0,20250524,20251021
ATB:DayType:944,0,0,0,0,1,1,0,20250525,20250703
ATB:DayType:945,0,0,1,1,0,0,0,20250523,20251021
ATB:DayType:946,1,1,1,1,0,0,0,20250815,20251019
ATB:DayType:947,1,0,1,0,0,0,0,20250619,20250817
ATB:DayType:948,0,0,0,1,0,0,0,20250815,20251022
ATB:DayType:949,0,1,1,1,1,0,0,20250524,20250630
ATB:DayType:950,1,1,1,1,0,0,0,20250523,20250817
ATB:DayType:951,1,0,0,0,0,0,0,20250520,20251019
ATB:DayType:953,1,1,1,1,0,0,0,20250620,20250817
ATB:DayType:954,1,0,1,0,0,0,0,20250522,20251019
ATB:DayType:960,0,0,0,0,1,1,0,20250629,20250814
ATB:DayType:961,1,0,1,1,0,0,0,20250620,20250817
ATB:DayType:962,1,1,0,1,1,0,0,20250524,20250622
ATB:DayType:963,1,1,1,1,0,0,0,20250523,20251019
ATB:DayType:964,1,1,0,1,1,0,0,20250524,20250817
ATB:DayType:965,1,1,1,1,1,0,0,20250530,20250817
ATB:DayType:966,0,0,1,0,0,0,0,20250619,20250819
ATB:DayType:967,0,0,0,0,1,0,0,20250531,20251023
ATB:DayType:968,1,1,0,1,0,0,0,20250523,20251019
ATB:DayType:971,1,1,1,1,1,0,0,20250628,20250810
ATB:DayType:972,0,0,1,1,0,0,0,20250815,20251021
ATB:DayType:973,0,0,1,0,0,0,0,20250529,20250819
ATB:DayType:975,0,1,0,1,1,0,0,20250524,20251020
ATB:DayType:977,1,1,1,1,1,0,0,20250621,20250817
ATB:DayType:978,0,0,0,0,0,0,1,20250526,20251025
ATB:DayType:979,1,1,1,1,1,0,0,20250524,20250629
ATB:DayType:980,0,1,0,1,1,0,0,20250524,20250623
ATB:DayType:981,1,0,0,0,1,0,0,20250524,20250622
ATB:DayType:982,0,1,0,1,1,0,0,20250524,20251020
ATB:DayType:983,1,1,0,1,1,0,0,20250524,20251019
ATB:DayType:984,0,1,0,0,0,0,0,20250521,20251020
ATB:DayType:985,1,0,0,0,0,0,0,20250617,20251012
ATB:DayType:987,0,0,0,0,0,0,1,20250526,20251025
ATB:DayType:988,0,0,0,1,0,0,0,20250530,20250820
ATB:DayType:989,0,0,0,0,1,1,0,20250525,20251023
ATB:DayType:991,0,0,1,0,1,0,0,20250524,20251021
ATB:DayType:992,1,1,1,1,1,0,0,20250524,20251019
ATB:DayType:993,0,0,0,0,1,0,0,20250621,20251023
ATB:DayType:994,0,1,1,1,1,0,0,20250524,20251020
ATB:DayType:996,1,1,1,1,0,0,0,20250523,20251019
ATB:DayType:997,0,0,0,0,0,0,1,20250526,20251025
ATB:DayType:998,0,1,0,1,0,0,0,20250523,20251020
ATB:DayType:999,1,0,1,0,1,0,0,20250524,20251019
