from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:103507,ATB:ServiceJourney:680_241021121641972_7008,NSR:Quay:103507,ATB:ServiceJourney:490_241205091486262_7001,1
NSR:Quay:71941,ATB:ServiceJourney:5305_241205091486889_4,NSR:Quay:71941,ATB:ServiceJourney:430_250212077045474_11,1
NSR:Quay:74648,ATB:ServiceJourney:311_241021121642560_44,NSR:Quay:74648,ATB:ServiceJourney:310_241021121639169_36,1
NSR:Quay:74037,ATB:ServiceJourney:77_241111133701271_24,NSR:Quay:74037,ATB:ServiceJourney:75_250131110663146_25,1
NSR:Quay:72660,ATB:ServiceJourney:591_241021121639959_13,NSR:Quay:74644,ATB:ServiceJourney:452_241021121642237_6,1
NSR:Quay:72946,ATB:ServiceJourney:1_240516085577715_86,NSR:Quay:72946,ATB:ServiceJourney:78_240516085573052_32,1
NSR:Quay:75658,ATB:ServiceJourney:1_250113084167469_7083,NSR:Quay:75658,ATB:ServiceJourney:14_250203104238964_7039,1
NSR:Quay:73032,ATB:ServiceJourney:3_250113084171281_6084,NSR:Quay:73032,ATB:ServiceJourney:42_250113084171029_6093,1
NSR:Quay:72888,ATB:ServiceJourney:71_250203085376101_6021,NSR:Quay:72888,ATB:ServiceJourney:82_250203085196819_6023,1
NSR:Quay:597,ATB:ServiceJourney:610_241205091486435_7001,NSR:Quay:597,ATB:ServiceJourney:695_250228115422057_7001,1
NSR:Quay:74192,ATB:ServiceJourney:72_250228142139061_20,NSR:Quay:74192,ATB:ServiceJourney:73_240516085572747_15,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658389_6116,NSR:Quay:72946,ATB:ServiceJourney:78_250131110656315_6048,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658409_230,NSR:Quay:72946,ATB:ServiceJourney:46_240923127815253_92,1
NSR:Quay:98864,ATB:ServiceJourney:640_241205091486470_14,NSR:Quay:98864,ATB:ServiceJourney:7201_241205091486858_7,1
NSR:Quay:74037,ATB:ServiceJourney:77_241111133697340_6008,NSR:Quay:74037,ATB:ServiceJourney:75_250131110663161_6009,1
NSR:Quay:74982,ATB:ServiceJourney:1_240516085577471_7093,NSR:Quay:74982,ATB:ServiceJourney:44_241113104123315_7038,1
NSR:Quay:77616,ATB:ServiceJourney:430_250212077045626_3,NSR:Quay:102047,ATB:ServiceJourney:311_250212077048074_72,1
NSR:Quay:74982,ATB:ServiceJourney:1_250113084167496_6081,NSR:Quay:74982,ATB:ServiceJourney:41_250113084168861_6044,1
NSR:Quay:72946,ATB:ServiceJourney:1_240516085577765_6072,NSR:Quay:72946,ATB:ServiceJourney:46_240516085572933_6032,1
NSR:Quay:74982,ATB:ServiceJourney:1_250131110658053_7053,NSR:Quay:74982,ATB:ServiceJourney:44_250131110663483_7018,1
NSR:Quay:74982,ATB:ServiceJourney:1_250113084167446_89,NSR:Quay:74982,ATB:ServiceJourney:41_250113084168852_52,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658477_7054,NSR:Quay:72946,ATB:ServiceJourney:77_241111133698274_7006,1
NSR:Quay:72654,ATB:ServiceJourney:5603_241205091485894_2,NSR:Quay:72654,ATB:ServiceJourney:460_241021121640093_5,1
NSR:Quay:75607,ATB:ServiceJourney:1_250113084170817_122,NSR:Quay:75607,ATB:ServiceJourney:72_250113084169513_56,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658376_6090,NSR:Quay:72946,ATB:ServiceJourney:46_240516085572936_6038,1
NSR:Quay:74982,ATB:ServiceJourney:1_250113084167401_35,NSR:Quay:74982,ATB:ServiceJourney:44_250113084169118_10,1
NSR:Quay:74982,ATB:ServiceJourney:1_250131110658036_7019,NSR:Quay:74982,ATB:ServiceJourney:41_250131110660661_7004,1
NSR:Quay:72888,ATB:ServiceJourney:71_250131110657896_6009,NSR:Quay:72888,ATB:ServiceJourney:82_241107118792572_6011,1
NSR:Quay:75658,ATB:ServiceJourney:1_240516085577446_7043,NSR:Quay:75658,ATB:ServiceJourney:79_241113103921276_7018,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658286_148,NSR:Quay:72946,ATB:ServiceJourney:77_241111133698544_28,1
NSR:Quay:75607,ATB:ServiceJourney:1_240516085577897_7098,NSR:Quay:75607,ATB:ServiceJourney:72_240516085574478_7030,1
NSR:Quay:72946,ATB:ServiceJourney:1_240516085577734_196,NSR:Quay:72946,ATB:ServiceJourney:78_240516085573060_86,1
NSR:Quay:102047,ATB:ServiceJourney:430_241021121639912_63,NSR:Quay:102047,ATB:ServiceJourney:311_241021121642500_6004,1
NSR:Quay:74982,ATB:ServiceJourney:1_250113084167457_6027,NSR:Quay:74982,ATB:ServiceJourney:44_250113084169128_6008,1
NSR:Quay:74649,ATB:ServiceJourney:310_241021121639232_7005,NSR:Quay:74649,ATB:ServiceJourney:311_241021121642476_7003,1
NSR:Quay:72888,ATB:ServiceJourney:71_240516085577178_6041,NSR:Quay:72888,ATB:ServiceJourney:82_241107118796044_6043,1
NSR:Quay:74982,ATB:ServiceJourney:1_240516085577554_57,NSR:Quay:74982,ATB:ServiceJourney:44_250131110663537_8,1
NSR:Quay:75607,ATB:ServiceJourney:1_240516085577838_6150,NSR:Quay:75607,ATB:ServiceJourney:72_240516085572616_6054,1
NSR:Quay:75699,ATB:ServiceJourney:5400_241205091485866_6,NSR:Quay:75699,ATB:ServiceJourney:5402_241205091485877_4,1
NSR:Quay:78617,ATB:ServiceJourney:7503_250212077046304_2,NSR:Quay:78617,ATB:ServiceJourney:635_250212077047467_15,1
NSR:Quay:72888,ATB:ServiceJourney:71_250131110657954_6065,NSR:Quay:72888,ATB:ServiceJourney:82_241107118766679_6068,1
NSR:Quay:74982,ATB:ServiceJourney:1_250131110658058_7063,NSR:Quay:74982,ATB:ServiceJourney:41_250131110660672_7026,1
NSR:Quay:72946,ATB:ServiceJourney:1_240516085577844_6168,NSR:Quay:72946,ATB:ServiceJourney:77_241111133698772_39,1
NSR:Quay:73482,ATB:ServiceJourney:80_240516085574398_18,NSR:Quay:73482,ATB:ServiceJourney:10_240902146528398_144,1
NSR:Quay:72888,ATB:ServiceJourney:71_250203085379384_63,NSR:Quay:72888,ATB:ServiceJourney:82_250203085191284_72,1
NSR:Quay:71982,ATB:ServiceJourney:1_240516085577798_6032,NSR:Quay:71982,ATB:ServiceJourney:74_240516085572809_6006,1
NSR:Quay:76120,ATB:ServiceJourney:680_250212077047496_24,NSR:Quay:80294,ATB:ServiceJourney:681_241205091488479_3,1
NSR:Quay:75172,ATB:ServiceJourney:76_241007087180280_5,NSR:Quay:75172,ATB:ServiceJourney:75_241111133507937_11,1
NSR:Quay:72946,ATB:ServiceJourney:1_250131110658430_6024,NSR:Quay:72946,ATB:ServiceJourney:78_250131110656310_6018,1
NSR:Quay:80294,ATB:ServiceJourney:680_241021121641966_24,NSR:Quay:80294,ATB:ServiceJourney:681_241205091488479_3,1
NSR:Quay:103507,ATB:ServiceJourney:490_241205091486259_2,NSR:Quay:103507,ATB:ServiceJourney:680_241021121642163_11,1
NSR:Quay:74982,ATB:ServiceJourney:1_240516085577457_7065,NSR:Quay:74982,ATB:ServiceJourney:44_241113104123074_7024,1
NSR:Quay:71982,ATB:ServiceJourney:1_240516085577869_7042,NSR:Quay:71982,ATB:ServiceJourney:74_240516085572827_7012,1
